LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.8993153,37.6952326,5934,GIBRALTAR DR,STE 201,PLEASANTON,,,94588,941-2759-79,54d0bfa1f4967051
-121.8993248,37.6953398,5934,GIBRALTAR DR,,PLEASANTON,,,94588,941-2759-79,3b8beb5aaf669a4d
-121.8986686,37.6952689,4698,WILLOW RD,,PLEASANTON,,,94588,941-2759-79,7996242f3877211d
-121.8988784,37.694485,4696,WILLOW RD,,PLEASANTON,,,94588,941-2759-78,635f655f01f530b7
-122.2362601,37.7832982,1245,23RD AV,,OAKLAND,,,94606,20-106-8-2,6cd84b4c10f5b65d
-122.2362601,37.7832982,1247,23RD AV,,OAKLAND,,,94606,20-106-8-2,6434061b04947b07
-122.2362601,37.7832982,1249,23RD AV,,OAKLAND,,,94606,20-106-8-2,906e14c552c098c2
-122.2364561,37.7831633,1233,23RD AV,,OAKLAND,,,94606,20-106-8-2,0eb5d87d64ffe06a
-122.2364561,37.7831633,1235,23RD AV,,OAKLAND,,,94606,20-106-8-2,b4ff56867c5dd1e1
-122.2365353,37.7833893,2285,E 14TH ST,,OAKLAND,,,94606,20-106-6-4,f4502d92cfed5d78
-122.2365353,37.7833893,2285,INTERNATIONAL BL,,OAKLAND,,,94606,20-106-6-4,d9dfb0b0194f288f
-122.2516405,37.8368217,5253,COLLEGE AV,,OAKLAND,,,94618,14-1240-4-1,36b066298655237f
-122.2516014,37.836948,5255,COLLEGE AV,,OAKLAND,,,94618,14-1240-3-2,86fdcf813f17d24f
-121.8798752,37.6587013,4795,JONAVI LN,,PLEASANTON,,,94566,94-155-32,02a0ca868723b9b4
-121.8799158,37.6586756,4795,JONAVI LN,APT 1,PLEASANTON,,,94566,94-155-32,7405a45f6d7218e1
-121.879924,37.6586509,4795,JONAVI LN,APT 2,PLEASANTON,,,94566,94-155-32,684498e98bd476a8
-121.8799379,37.6586245,4795,JONAVI LN,APT 3,PLEASANTON,,,94566,94-155-32,d25531dc8f30b0f6
-121.8798798,37.6586372,301,OLD BERNAL AV,,PLEASANTON,,,94566,94-155-32,94c540b7c71ca035
-121.8800607,37.658686,4851,JONAVI LN,,PLEASANTON,,,94566,94-155-29,a17038490cedc95d
-121.8801155,37.6586184,327,OLD BERNAL AV,,PLEASANTON,,,94566,94-155-29,1cdb8ce5ad89d58c
-121.9267872,37.4839934,47201,WARM SPRINGS BL,,FREMONT,,,94539,519-1691-3,02823766e872b4a1
-121.9267872,37.4839934,47215,WARM SPRINGS BL,,FREMONT,,,94539,519-1691-3,8dc2de359ef0215f
-121.9267872,37.4839934,47209,WARM SPRINGS BL,,FREMONT,,,94539,519-1691-3,3c110b7f1af60f48
-121.9267872,37.4839934,47205,WARM SPRINGS BL,,FREMONT,,,94539,519-1691-3,4e894045587ad043
-121.9264391,37.4826518,47323,WARM SPRINGS BL,,FREMONT,,,94539,519-1755-108,17527098304d60b7
-121.9264391,37.4826518,47333,WARM SPRINGS BL,,FREMONT,,,94539,519-1755-108,e67436fae1418309
-121.9264391,37.4826518,47339,WARM SPRINGS BL,,FREMONT,,,94539,519-1755-108,2b4ce28465000b1e
-121.9264391,37.4826518,47343,WARM SPRINGS BL,,FREMONT,,,94539,519-1755-108,f1767e1a246c9187
-121.9264391,37.4826518,47347,WARM SPRINGS BL,,FREMONT,,,94539,519-1755-108,4987efee1a74d757
-121.9264391,37.4826518,47320,MISSION FALLS CT,,FREMONT,,,94539,519-1755-108,5d27064d8a3db73e
-121.9283343,37.4825323,47283,MISSION FALLS CT,,FREMONT,,,94539,519-1755-43,93e840a49f58dba7
-121.9283168,37.4824943,47289,MISSION FALLS CT,,FREMONT,,,94539,519-1755-43,d9f02a068ca7d4ed
-121.9277471,37.4820549,47317,MISSION FALLS CT,,FREMONT,,,94539,519-1755-17,6d74a04709d69bbe
-121.9275147,37.4837603,47224,MISSION FALLS CT,,FREMONT,,,94539,519-1755-15,14fd4ca2688dba90
-121.9275147,37.4837603,47212,MISSION FALLS CT,,FREMONT,,,94539,519-1755-15,7be8792258a8ad22
-121.9279694,37.4821047,47315,MISSION FALLS CT,,FREMONT,,,94539,519-1755-13,010d3e339f763ab2
-121.9283078,37.482587,47281,MISSION FALLS CT,,FREMONT,,,94539,519-1755-13,0dd79d843b7e1c6d
-122.2846547,37.844233,6105,SAN PABLO AV,,OAKLAND,,,94608,16-1459-30,2e2b38e350c2e5c9
-122.0833593,37.6751331,22491,MAPLE CT,B,HAYWARD,,,94541,428-61-61-4,4d1bbbf0df376146
-122.083501,37.6753741,22477,MAPLE CT,,HAYWARD,,,94541,428-61-61-4,c7579c4a772c2768
-122.0835642,37.6755037,22471,MAPLE CT,,HAYWARD,,,94541,428-61-61-4,1bccbe24345b1f5a
-122.0841101,37.6754932,22336,MAIN ST,,HAYWARD,,,94541,428-61-61-4,6f1f3dd67ef5b92d
-122.0846111,37.6753226,22330,MAIN ST,,HAYWARD,,,94541,428-61-61-4,d2b376ea5e183a2b
-122.0845096,37.6755681,22334,MAIN ST,,HAYWARD,,,94541,428-61-61-4,3e81645da5bec1ee
-122.0834261,37.6752524,22485,MAPLE CT,,HAYWARD,,,94541,428-61-61-4,ac5a25cc2c40159a
-122.0844792,37.6753236,22338,MAIN ST,,HAYWARD,,,94541,428-61-61-4,e966b50a722c77a7
-122.0838159,37.6758782,22455,MAPLE CT,402,HAYWARD,,,94541,428-61-61-3,25989c8bed627c8c
-122.0842022,37.6756082,22412,MAIN ST,,HAYWARD,,,94541,428-61-61-3,970417c061e05d77
-122.0841482,37.6758947,1041,MCKEEVER AV,,HAYWARD,,,94541,428-61-61-3,761908a70a3a828e
-122.0845037,37.6757952,1013,MCKEEVER AV,,HAYWARD,,,94541,428-61-61-3,2f3224a285562562
-121.7690596,37.6832984,2205,RAILROAD AV,,LIVERMORE,,,94550-3133,98-407-31,35403f8a30765555
-121.7687067,37.6826902,30,S LIVERMORE AV,,LIVERMORE,,,94550,98-407-32,7c6fbb97f0d007fb
-122.06378,37.6466157,26685,MISSION BL,,HAYWARD,,,94544,452-36-112,30749c2f625011b5
-122.063605,37.646397,26699,MISSION BL,,HAYWARD,,,94544,452-36-112,f47506f48f2f1406
